Buyer;BuyerSubSector;Client;ClientSubSector;NDeals;NumberOfNDAPerBuyerInSubSector;NumberOfGosPerBuyerInSubSector;NumberOfGosPerSizeInSubSector;NumberOfNBOperDealsInSubSector;AverageSizePerDealInSubSector;MedianSizePerDealInSubSector;NBOLastDatePerDealInSubSector;DealClosePerClientSector;LastDateCloseDealPerInSubSector;MostRecentContact;IsEqual
123 Milhas;Turismo. Entretenimento;Max Milhas;Varejo Especializado;1;0;0;0;0;400;400;;0;25/02/2022 00:00;;false
180° Seguros;Seguradoras & Corretoras de Seguros;Kunumi;IT Services;1;0;1;0;0;150;150;;0;11/02/2022 00:00;;false
220 Capital;Asset Management;Feltros Santa Fé 2020;Indústria Pesada. Máquinas e Equipamentos;4;0;1;0;0;;;;0;06/05/2021 00:00;joaolima@220capital.com.br;false
220 Capital;Asset Management;APS;Distribuição industrial;4;0;0;0;0;110;110;;1;10/12/2021 00:00;joaolima@220capital.com.br;false
220 Capital;Asset Management;Liderança;Serviços de Engenharia e TIC;4;0;1;0;0;;;;1;27/04/2022 00:00;joaolima@220capital.com.br;false
220 Capital;Asset Management;Elleva;Serviços Terceirizados (limpeza. segurança e catering);4;1;0;0;0;;;;0;24/06/2022 00:00;joaolima@220capital.com.br;false
2M Holdings;Supermercados e Atacadistas;Maian;Industria e distribuição de Químicos & Ingredientes;1;0;0;0;0;;;;0;01/12/2021 00:00;;false
2TM;;Laqus;Software;1;0;1;0;0;100;100;;0;04/04/2022 00:00;;false
2U;;K21;IT Services;1;0;1;0;0;100;100;;0;11/02/2022 00:00;;false
3 Corações;Mercearia Seca. Condimentos e Produtos Saudáveis;Vitabe;Produtos de Uso Pessoal e Cosméticos;5;0;0;0;0;400;400;;0;15/10/2021 00:00;plima@3coracoes.com.br;false
3 Corações;Mercearia Seca. Condimentos e Produtos Saudáveis;Bela Vista 2018;Mercearia Seca. Condimentos e Produtos Saudáveis;5;1;0;0;0;150;150;;0;;plima@3coracoes.com.br;true
3 Corações;Mercearia Seca. Condimentos e Produtos Saudáveis;Coco do Vale;Bebidas;5;1;1;0;0;100;100;;0;21/09/2021 00:00;plima@3coracoes.com.br;false
3 Corações;Mercearia Seca. Condimentos e Produtos Saudáveis;Vitao Alimentos;Mercearia Seca. Condimentos e Produtos Saudáveis;5;1;0;0;0;150;150;;0;;plima@3coracoes.com.br;true
3 Corações;Mercearia Seca. Condimentos e Produtos Saudáveis;De Bev;Bebidas;5;1;1;0;0;100;100;;0;21/09/2021 00:00;plima@3coracoes.com.br;false
3 Tentos;Sementes;Sementes Mauá;Distribuição Agro;8;0;6;0;0;162.86;150;;0;16/02/2022 00:00;mauricio.hasson@3tentos.com.br;false
3 Tentos;Sementes;Charrua;Distribuição Agro;8;0;6;0;0;162.86;150;;0;16/02/2022 00:00;mauricio.hasson@3tentos.com.br;false
3 Tentos;Sementes;Ponto Rural;Distribuição Agro;8;0;6;0;0;162.86;150;;0;16/02/2022 00:00;mauricio.hasson@3tentos.com.br;false
3 Tentos;Sementes;Marca Agro;Distribuição Agro;8;0;6;0;0;162.86;150;;0;16/02/2022 00:00;mauricio.hasson@3tentos.com.br;false
